,ID,ROOM NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,DISCOUNT,ratings
0,0,MedRooms Premium 529 Jasola Vihar,"Pocket-2, Jasola",Delhi,2649.0,1987,25.0,3
1,1,MedRooms Flagship 485 GK2 Savitri Cinema,"E Block,GK2",Delhi,3149.0,2362,25.0,3
2,2,MedRooms Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",Delhi,1799.0,1349,25.0,3
3,3,MedRooms Flagship 513 Delhi Airport,"A Block,Mahipalpur Extension",Delhi,1999.0,1499,25.0,0
4,4,MedRooms Premium 055 New Friends Colony Ring Road,CV Raman Marg,Delhi,3899.0,2924,25.0,1
5,5,MedRooms  658 Nehru Place 1,"E Block, East Of Kailash",Delhi,1799.0,1349,25.0,1
6,6,MedRooms Premium 210 Lodhi Road,Sunder Nagar,Delhi,6099.0,4574,25.0,5
7,7,MedRooms  632 Kalkaji Mandir,Kalkaji,Delhi,1799.0,1349,25.0,0
8,8,MedRooms  696 NH8 Mahipalpur,"Road 1, Mahipalpur",Delhi,1664.0,1248,25.0,5
9,9,MedRooms Premium 241 Patel Nagar Metro Station,East Patel Nagar,Delhi,4849.0,3637,25.0,0
10,10,MedRooms  010 Karol Bagh 1078,"Karol Bagh, New Delhi",Delhi,1699.0,1274,25.0,2
11,11,MedRooms  689 Indira Gandhi International Airport,"Road No 1, Mahipalpur",Delhi,1664.0,1248,25.0,5
12,12,MedRooms Homes 459 New Friends Colony 2,"Second Floor (With Elevator), New Friends Colony ",Delhi,3699.0,2774,25.0,2
13,13,MedRooms Premium 033 New Friends Colony,CV Raman Marg,Delhi,3149.0,2362,25.0,2
14,14,MedRooms Premium 160 Saket Metro Station,Saket,Delhi,4299.0,3224,25.0,5
15,15,MedRooms  030 IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Delhi,3799.0,2849,25.0,3
16,16,MedRooms  142 Connaught Place 1,Connaught Circus,Delhi,4649.0,3487,25.0,4
17,17,MedRooms  257 Rajendra Place PUSA Circle,East Patel Nagar,Delhi,2499.0,1874,25.0,3
18,18,MedRooms  171 IGI Airport NH8,"National Highway 8, Near IGI Domestic Airport, Mahipalpur",Delhi,3749.0,2812,25.0,0
19,19,MedRooms  080 Executive IGI Airport,"Mahipalpur Extn, Near Airport, National Highway -8",Delhi,3249.0,2437,25.0,1
20,20,MedRooms Premium 182 Siri Fort Sports Complex,Anand Lok,Delhi,4749.0,3562,25.0,1
21,21,MedRooms  118 Vasant Vihar,Vasant vihar,Delhi,3549.0,2662,25.0,5
22,22,MedRooms  457 Azadpur Mandi Extension,Adarsh Nagar,Delhi,2499.0,1874,25.0,5
23,23,MedRooms  183 Opp IGI Airport Main Road,"N.H. 8, Near IGI Airport Road No. 1, Mahipalpur Extension , Mahipalpur",Delhi,3449.0,2587,25.0,1
24,24,MedRooms Premium 207 Greater Kailash 1,Greater Kailash 1,Delhi,4799.0,3599,25.0,2
25,25,MedRooms Homes 380 GTB Nagar,Kingsaway,Delhi,2499.0,1874,25.0,5
26,26,MedRooms  680 Jasola Pocket 1,Jasola Vihar,Delhi,3499.0,2624,25.0,1
27,27,MedRooms Premium 292 Lajpat Nagar Main Road,Lajpat Nagar 4,Delhi,4299.0,3224,25.0,2
28,28,MedRooms  144 CR Park,Outer Ring Road,Delhi,2899.0,2174,25.0,5
29,29,MedRooms  098 South Delhi,"Opposite Karnataka Bank, Kalkaji",Delhi,2149.0,1612,25.0,2
30,30,MedRooms Apartments 273 Dwarka Sector 12,Dwarka,Delhi,2199.0,1649,25.0,4
31,31,MedRooms  616 NDLS Gate Number 2,Desh Bandhu Gupta Road,Delhi,1849.0,1387,25.0,1
32,32,MedRooms  195 Patel Nagar Metro Station,East Patel Nagar,Delhi,2549.0,1912,25.0,1
33,33,MedRooms  128 Paschim Vihar District Park,Bhera Enclave,Delhi,2449.0,1837,25.0,1
34,34,MedRooms  613 Kirti Nagar-B&B,Kirti Nagar,Delhi,2049.0,1537,25.0,5
35,35,MedRooms  006 New Friends Colony,Near Bank of Baroda,Delhi,2049.0,1537,25.0,1
36,36,MedRooms  690 Okhla Near Fortis Hospital,"Jamia Nagar, Okhla",Delhi,2499.0,1874,25.0,2
37,37,MedRooms  509 Near Badarpur,"60 Feet Road, Pul Pehlad Pur",Delhi,1699.0,1274,25.0,3
38,38,MedRooms Premium 177 Defence Colony,Defence Colony,Delhi,3099.0,2324,25.0,2
39,39,MedRooms  329 8575 Arakashan Road,Arakashan Road,Delhi,1999.0,1499,25.0,5
40,40,MedRooms  491 Mahipalpur NH8,"National Highway, NH8",Delhi,2249.0,1687,25.0,5
41,41,MedRooms  194 Next To IGI Airport Corporate Special,"Kapashera Extension, Bijwasan Road",Delhi,2499.0,1874,25.0,5
42,42,MedRooms  215 Gangaram Hospital,Old Rajendra Nagar,Delhi,2649.0,1987,25.0,2
43,43,MedRooms  212 Hauz Khas,Panchsheel Park South,Delhi,1899.0,1424,25.0,5
44,44,MedRooms  588 DB Gupta Road Near Flyover,Dariba Pan,Delhi,1199.0,899,25.0,2
45,45,MedRooms  185 GK 1 Near M Block Market,Greater Kailash Part 1,Delhi,3549.0,2662,25.0,4
46,46,MedRooms  653 Near Kailash Colony Metro,Kailash Colony,Delhi,2749.0,2062,25.0,3
47,47,MedRooms  133 East of Kailash Extension,Opp Sapna Cinema,Delhi,2549.0,1912,25.0,2
48,48,MedRooms  486 IGI Airport Near Main Road,"Near Prem Motor Showroom, Adjoining Vasantkunj Road",Delhi,1599.0,1199,25.0,2
49,49,MedRooms  602 Chandi Wali Gali Paharganj,Near New Delhi Railway Station,Delhi,1249.0,937,25.0,0
50,50,MedRooms  528 8A/50 Channa Market,"Channa Market, Karol Bagh",Delhi,2399.0,1799,25.0,3
51,51,MedRooms Premium 052 Jasola Apollo,Kalindi Kunj Road,Delhi,3249.0,2437,25.0,5
52,52,MedRooms  270 Nizamuddin Railway Station,Jangpura,Delhi,3599.0,2699,25.0,1
53,53,MedRooms  089 Kalkaji,Chittaranjan Park,Delhi,2749.0,2062,25.0,0
54,54,MedRooms  484 IGI Airport Hotel,NH8,Delhi,2599.0,1949,25.0,5
55,55,MedRooms  126 East of Kailash,Near Nehru Place,Delhi,3599.0,2699,25.0,4
56,56,MedRooms  272 Delhi English School Sector 21 Dwarka,Dwarka Sector 23,Delhi,2049.0,1537,25.0,0
57,57,MedRooms  567 Paharganj Near RK Ashram Metro,Near R.K. Ashram Metro Station,Delhi,1949.0,1462,25.0,2
58,58,MedRooms  599 Rajguru Road Paharganj 2,"Rajguru Road, Chuna Mandi",Delhi,1149.0,862,25.0,2
59,59,MedRooms  300 IGI Airport 3,"Behind Prem Maruti Showroom, Mahipalpur",Delhi,1749.0,1312,25.0,1
60,60,MedRooms  641 Sector 7 Palam Extension,"Sector 7, Near Shree Makhan Sweet, Ramphal Chowk",Delhi,1849.0,1387,25.0,3
61,61,MedRooms Premium 529 Jasola Vihar,"Pocket-2, Jasola",Delhi,2699.0,2024,25.0,4
62,62,MedRooms Premium 143 Rajouri Garden Janta Market,Rajouri Garden,Delhi,3199.0,2399,25.0,2
63,63,MedRooms  565 Airport Travellers Delight,"Street No.7, Near IGI Airport, Mahipalpur",Delhi,2699.0,2024,25.0,2
64,64,MedRooms Premium 220 East Of Kailash Extension,East of Kailash,Delhi,3799.0,2849,25.0,4
65,65,MedRooms  666 Nehru Place Near Metro Station,Nehru Enclave,Delhi,3299.0,2474,25.0,3
66,66,MedRooms  350 Delhi GateÂ ,Darya Ganj,Delhi,2499.0,1874,25.0,2
67,67,MedRooms Premium 106 Paharganj,Paharganj,Delhi,2349.0,1762,25.0,0
68,68,MedRooms  044 Patel Nagar Delhi,East Patel Nagar,Delhi,2299.0,1724,25.0,3
69,69,MedRooms  671 Dabri Palam Road,Main Mahiveer Enclave in front of Sulabh International Dabri Palam Road,Delhi,1849.0,1387,25.0,5
70,70,MedRooms  553 Paharganj Flyover 1,"D.B. Gupta Road, Paharganj",Delhi,1799.0,1349,25.0,3
71,71,MedRooms  111 Paharganj 54,Paharganj,Delhi,1349.0,1012,25.0,0
72,72,MedRooms  105 Paharganj DB Gupta Road 2,Paharganj,Delhi,1449.0,1087,25.0,5
73,73,MedRooms  361 Paharganj Near Darbar Sweets,Pahar Ganj,Delhi,1499.0,1124,25.0,1
74,74,MedRooms Premium 532 GK1 M Block Market 1,Greater Kailash 1,Delhi,4649.0,3487,25.0,3
75,75,MedRooms  027 Karol Bagh 8/41,Karol Bagh,Delhi,1649.0,1237,25.0,3
76,76,MedRooms  358 Near Jasola Sports Complex,Jasola,Delhi,1649.0,1237,25.0,2
77,77,MedRooms Premium 236 Malviya Nagar Metro,Malviya Nagar,Delhi,3999.0,2999,25.0,3
78,78,MedRooms Homes 678 Jangpura Birbal Road,Jangpura Extension,Delhi,1699.0,1274,25.0,1
79,79,MedRooms Apartments 561 Ramphal Chowk,"Palam Extension, Sector 7, Near Gold's Gym",Delhi,1899.0,1424,25.0,0
80,80,MedRooms  038 Jamia River View,Jamia Nagar,Delhi,1399.0,1049,25.0,2
81,81,MedRooms Premium 483 Lajpat Nagar Ring Road 2,Ring Road,Delhi,4199.0,3149,25.0,3
82,82,MedRooms Homes 382 Pitampura Metro Station,Road no 44,Delhi,2149.0,1612,25.0,3
83,83,MedRooms Premium 123 Hauz Khas,Safdarjung Enclave,Delhi,3649.0,2737,25.0,2
84,84,MedRooms  115 Main Bazar Paharganj,Near Imperial Cinema,Delhi,1249.0,937,25.0,2
85,85,MedRooms  296 Railway Station Paharganj 2,Paharganj,Delhi,1449.0,1087,25.0,3
86,86,MedRooms Homes 375 South Extension 1 H Block,South Extension - 1,Delhi,2249.0,1687,25.0,2
87,87,MedRooms  297 PVR Saket,Saket,Delhi,3449.0,2587,25.0,5
88,88,MedRooms  065 Janakpuri Near Dabri Mod,"Pankha Road,Dabri Mor",Delhi,2899.0,2174,25.0,4
89,89,MedRooms  136 Karol Bagh 5/25,Karolbagh,Delhi,1599.0,1199,25.0,0
90,90,MedRooms  396 Nirman Vihar Metro,Near Nirman Vihar Metro Station,Delhi,2449.0,1837,25.0,5
91,91,MedRooms  268 Gali Hari Mandir Paharganj,Paharganj,Delhi,1249.0,937,25.0,5
92,92,MedRooms  277 Near Jhandewalan Metro,Karol Bagh,Delhi,2099.0,1574,25.0,3
93,93,MedRooms Premium 672 Paharganj Police Station,"Street No.1, Multani Dhanda, Paharganj",Delhi,1949.0,1462,25.0,0
94,94,MedRooms  043 Nehru Place Extension,Jasola,Delhi,1499.0,1124,25.0,4
95,95,MedRooms  683 Near T3 Airport Delhi,Kapashera,Delhi,2299.0,1724,25.0,4
96,96,MedRooms  596 Main Bazaar Paharganj Gali No 1,"Main Bazar, 6 Tooti Chowk",Delhi,1299.0,974,25.0,5
97,97,MedRooms  609 Paharganj Near NDLS,"Ram Nagar, Street No.1",Delhi,1599.0,1199,25.0,4
98,98,MedRooms  266 7A/36 Channa Market Karol Bagh,Karol Bagh,Delhi,1699.0,1274,25.0,5
99,99,MedRooms  173 Paharganj Qutub Road,Ram Nagar,Delhi,1449.0,1087,25.0,4
100,100,MedRooms  173 Paharganj Qutub Road,Ram Nagar,Delhi,1449.0,1087,25.0,0
101,101,MedRooms  578 Karol Bagh 16/7 Arya Samaj Road,"Arya Samaj Road, Opposite Satbhrawan School",Delhi,1349.0,1012,25.0,1
102,102,MedRooms  230 Near RK Ashram Metro Paharganj,Paharganj,Delhi,1599.0,1199,25.0,5
103,103,MedRooms  626 DB Gupta NDLS,"Near Gate No 1, Opposite Sheila Cinema",Delhi,1849.0,1387,25.0,4
104,104,MedRooms  451 Gali No 3 Ram Nagar Paharganj,"Saran Building, Gali No. 3",Delhi,1599.0,1199,25.0,3
105,105,MedRooms Flagship 497 Green Park,"B Block, Safdarjung Enclave",Delhi,5049.0,3787,25.0 ,3
106,106,MedRooms Flagship 500 New Friends Colony,"Plot no. A-44, A Block, New Friends Colony, Delhi",Delhi,3899.0,2924,25.0 ,1
107,107,MedRooms Flagship 494 East of Kailash,"Plot no. E-301, E Block, East of Kailash, Delhi",Delhi,3699.0,2774,25.0 ,1
108,108,MedRooms Flagship 512 Safdarjung Enclave,"B Block, Safdurjung Enclave",Delhi,3449.0,2587,25.0 ,3
109,109,MedRooms Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",Delhi,1799.0,1349,25.0 ,3
110,110,MedRooms Premium 526 Wazirpur Industrial Area,"Phase 2, Ashok Vihar, New Delhi",Delhi,6099.0,4574,25.0 ,1
111,111,MedRooms  610 Green Park Extension,Hauz Khas Village,Delhi,4999.0,3749,25.0 ,0
112,112,MedRooms  606 New Friends Colony 1,New Friends Colony,Delhi,3849.0,2887,25.0 ,3
113,113,MedRooms  699 North Campus,"Phase 2, Ashok Vihar",Delhi,2349.0,1762,25.0 ,4
114,114,MedRooms Premium 538 Hauz Khas Metro,"S Block, Panchsheel Park",Delhi,3349.0,2512,25.0 ,3
115,115,MedRooms Premium 336 Resort International Airport Delhi,Kapashera,Delhi,5799.0,4349,25.0 ,2
116,116,MedRooms  592 Deer Park,SFE,Delhi,3299.0,2474,25.0 ,2
117,117,MedRooms  698 Paharganj NDLS,"Arakashan Road,Pahargankj",Delhi,2049.0,1537,25.0 ,1
118,118,MedRooms  697 Karol Bagh,"Desh Bandhu Gupta Road, Beadonpura, Karol Bagh",Delhi,2049.0,1537,25.0 ,3
119,119,MedRooms Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Delhi,3349.0,2512,25.0 ,2
120,120,MedRooms Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Delhi,3349.0,2512,25.0 ,4
121,121,MedRooms  676 Safdarjung Enclave 2,"B Block, Safdurjung Enclave",Delhi,3449.0,2587,25.0 ,5
122,122,MedRooms  591 Hauz Khas Village,SDA,Delhi,3249.0,2437,25.0 ,1
123,123,MedRooms  555 Pitampura,"Rajdhani Enclave,Pitampura",Delhi,3299.0,2474,25.0 ,3
124,124,MedRooms  545 Rohini Pitampura,"Saraswati Vihar, Pitampura",Delhi,3149.0,2362,25.0 ,3
125,125,MedRooms  547 Paschim Vihar 2,"Paschim Enclave, Nh-10",Delhi,2999.0,2249,25.0 ,5
126,126,MedRooms  354 GK2 M Block Market,"E Block,Greater Kailash II",Delhi,2749.0,2062,25.0 ,0
127,127,MedRooms  498 South Ex Market,"C Block, South Extension 1",Delhi,2399.0,1799,25.0 ,1
128,128,MedRooms Premium 608 GK2 M Block Market,"Ground Floor, Greater Kailash II, Road No. 10, Near M Block Market",Delhi,2749.0,2062,25.0 ,0
129,129,MedRooms  010 Karol Bagh 1078,"Karol Bagh, New Delhi",Delhi,1699.0,1274,25.0 ,1
130,130,MedRooms Premium 208 GK 1 M Block Market,Greater Kailash,Delhi,6849.0,5137,25.0 ,5
131,131,MedRooms  091 WEA Karol Bagh,Karol Bagh,Delhi,1999.0,1499,25.0 ,0
132,132,MedRooms  124 Kirti Nagar,Kirti Nagar,Delhi,1549.0,1162,25.0 ,2
133,133,MedRooms Premium 404 International Airport Terminal 3 Extension,"A Block, Mahipalpur Extension, NH8, New",Delhi,3549.0,2662,25.0 ,2
134,134,MedRooms  039 Near Qutub Road Arya Nagar Paharganj,Paharganj,Delhi,1099.0,824,25.0 ,2
135,135,MedRooms Homes 330 New Friends Colony,Friends Colony East,Delhi,3999.0,2999,25.0 ,5
136,136,MedRooms Premium 081 Domestic Airport Delhi,"Khasara No.395, Vasant Kunj Road, Mahipalpur",Delhi,3299.0,2474,25.0 ,2
137,137,MedRooms  031 Near IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Delhi,3749.0,2812,25.0 ,5
138,138,MedRooms  437 North Campus,"Opposite Parmarth Hospital, Above Allahabad Bank",Delhi,2549.0,1912,25.0 ,5
139,139,MedRooms  541 Dwarka Sector 13 Metro Station,"Sector 13, Dwarka",Delhi,3849.0,2887,25.0 ,5
140,140,MedRooms  079 Delhi International Airport,"Mahipalpur Extn, Near Airport, National Highway -8",Delhi,3249.0,2437,25.0 ,5
141,141,MedRooms  190 Opp IGI Airport,"NH 8, Near IGI Airport Road No. 1, Mahipalpur Extension",Delhi,3749.0,2812,25.0 ,1
142,142,MedRooms  506 GK 1 Market,Greater Kailash 1,Delhi,5099.0,3824,25.0 ,5
143,143,MedRooms  540 Near Pitampura Metro,Dakshini Pitampura,Delhi,3499.0,2624,25.0 ,0
144,144,MedRooms  051 New Friends Colony Market,New Friends Colony,Delhi,2949.0,2212,25.0 ,4
145,145,MedRooms Premium 586 Near Meera Bagh,"Outer Ring Road, Meera Bagh",Delhi,3949.0,2962,25.0 ,3
146,146,MedRooms Premium 311 Ring Road GK1 2,Greater Kailash 1,Delhi,4749.0,3562,25.0 ,4
147,147,MedRooms  028 Friends Hospital NFC,Maharani Bagh,Delhi,2299.0,1724,25.0 ,1
148,148,MedRooms  082 Patel Nagar Main Market,Main Market,Delhi,3399.0,2549,25.0 ,3
149,149,MedRooms Premium 510 International Airport Terminal 3,Opposite Kapashera Police Station Kapashera,Delhi,3349.0,2512,25.0 ,1
150,150,MedRooms  566 Saket J Block,"Opposite J Block Market, Saket",Delhi,3499.0,2624,25.0 ,4
151,151,MedRooms  157 Delhi Airport 2,"Opposite Indra Gandhi International Airport, Mahipalpur Extension, NH-8",Delhi,1899.0,1424,25.0 ,3
152,152,MedRooms  184 Aerodrome Near IGI Airport,"Mahipalpur, NH-8, Near IGI Airport",Delhi,3399.0,2549,25.0 ,4
153,153,MedRooms Premium 069 Patel Nagar,Metro Pillar No. 162,Delhi,4499.0,3374,25.0 ,5
154,154,MedRooms  524 International Airport Delhi,"A Block, N.H.8, Mahipalpur New",Delhi,3199.0,2399,25.0 ,5
155,155,MedRooms  205 Dwarka Sector 12 Metro Station,Dwarka,Delhi,3399.0,2549,25.0 ,2
156,156,MedRooms Premium 405 GK1 Near M Block Market,Greater Kailash -1,Delhi,4499.0,3374,25.0 ,5
157,157,MedRooms  535 Chattarpur,Chandan Hola,Delhi,4049.0,3037,25.0 ,4
158,158,MedRooms  321 Near RK Ashram Metro Station 3,Paharganj,Delhi,1349.0,1012,25.0 ,1
159,159,MedRooms  219 Grace Church NFC,Kirokli,Delhi,2649.0,1987,25.0 ,2
160,160,MedRooms  170 Shadipur Metro Station,West Patel Nagar,Delhi,2399.0,1799,25.0 ,0
161,161,MedRooms  365 Indra Gandhi Airport Main Road,"Next to Hotel Radisson, Near IGI Airport, Rangpuri",Delhi,2599.0,1949,25.0 ,1
162,162,MedRooms  088 East Patel Nagar,Near Metro Pillar No.161,Delhi,2449.0,1837,25.0 ,1
